date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:45	143146/143146	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:43%20GMT	https://tradegpt.gitbook.io/tradegpt/	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/index.html	(from )
10:09:45	138/138	---MC-	302	error ('Found')	text/html	date:Fri,%2024%20Mar%202023%2005:09:44%20GMT	https://tradegpt.gitbook.io/robots.txt		(from )
10:09:47	23105/23105	---M--	200	added ('OK')	image/png	etag:%22f4d145e2664701b29f2df4ecf530b15b%22	https://4007969913-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2F1Dma6Wvq36KEzEiU5U5U%2Ficon%2FLIPivDyLeftdqTo4zAiK%2Flogo%20PNG.png?alt=media&token=03fcab01-fe41-4224-b3d1-04fe506694d6	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/4007969913-files.gitbook.io/_/files/v0/b/gitbook-x-prod.appspot.com/o/spaces/1Dma6Wvq36KEzEiU5U5U/icon/LIPivDyLeftdqTo4zAiK/logo%20PNGcc36.png	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:49	367942/367942	---M--	200	added ('OK')	image/png	etag:%228bf4d9bd40af1c8ad00b738697726f5f%22	https://4007969913-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2F1Dma6Wvq36KEzEiU5U5U%2Fuploads%2FS64NrLeAvQ1dZkT0MCgP%2Fwhitepap2.png?alt=media&token=b955e0d7-59ea-4e74-8541-a1a5425acce2	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/4007969913-files.gitbook.io/_/files/v0/b/gitbook-x-prod.appspot.com/o/spaces/1Dma6Wvq36KEzEiU5U5U/uploads/S64NrLeAvQ1dZkT0MCgP/whitepap278fd.png	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:49	193557/193557	---MCZ	200	added ('OK')	application/javascript	etag:W/%229cff0c531c1d415a5ebd1f68b88d7484%22	https://app.gitbook.com/public/app/public-O2YEK6WY.min.js?v=10.9.276-c82a9711e1aac930231348e9fb67fcd691aeda3f-4488429775	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/app.gitbook.com/public/app/public-O2YEK6WY.minefa5.js	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:50	33766/33766	---MCZ	200	added ('OK')	text/css	etag:W/%2216663a171dee145af2b6aba99f1e0de2%22	https://app.gitbook.com/public/app/public-HLF5VCAO.css?v=10.9.276-c82a9711e1aac930231348e9fb67fcd691aeda3f-4488429775	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/app.gitbook.com/public/app/public-HLF5VCAOefa5.css	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:50	24307/24307	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263d3f746-5ef3%22	https://cdn.iframe.ly/embed.js	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/cdn.iframe.ly/embed.js	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:51	245/245	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://cdn.polyfill.io/v2/polyfill.js?features=Intl.~locale.en	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/cdn.polyfill.io/v2/polyfill8a7a.js	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:53	118581/118581	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:52%20GMT	https://tradegpt.gitbook.io/tradegpt/ecosystem	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/ecosystem.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:56	113369/113369	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:55%20GMT	https://tradegpt.gitbook.io/tradegpt/technical-details	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/technical-details.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:57	114739/114739	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:56%20GMT	https://tradegpt.gitbook.io/tradegpt/what-makes-tradegpt-unique	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/what-makes-tradegpt-unique.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:09:59	185883/185883	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:58%20GMT	https://tradegpt.gitbook.io/tradegpt/roadmap	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/roadmap.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:10:00	140536/140536	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:09:59%20GMT	https://tradegpt.gitbook.io/tradegpt/tokenomics	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/tokenomics.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:10:01	112102/112102	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:10:00%20GMT	https://tradegpt.gitbook.io/tradegpt/security	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/security.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:10:02	110798/110798	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:10:01%20GMT	https://tradegpt.gitbook.io/tradegpt/referral-program	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/referral-program.html	(from https://tradegpt.gitbook.io/tradegpt/)
10:10:04	108946/108946	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:10:03%20GMT	https://tradegpt.gitbook.io/tradegpt/ecosystem/ai-back-up-wallet	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/ecosystem/ai-back-up-wallet.html	(from https://tradegpt.gitbook.io/tradegpt/ecosystem)
10:10:06	112982/112982	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:10:05%20GMT	https://tradegpt.gitbook.io/tradegpt/ecosystem/staking	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/ecosystem/staking.html	(from https://tradegpt.gitbook.io/tradegpt/ecosystem)
10:10:06	113937/113937	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Mar%202023%2005:10:05%20GMT	https://tradegpt.gitbook.io/tradegpt/security/fundsaresafu	C:/DIYORBEK/ALL/veb-site/tradegpt.gitbook.io_tradegpt_/tradegpt.gitbook.io/tradegpt/security/fundsaresafu.html	(from https://tradegpt.gitbook.io/tradegpt/security)
